tmc_name,tmc_article,web_code,tmc_price
"Монитор 24"" Samsung LS24D300H 1920х1080 16:9 TN 60ГЦ Black ITMNT7869",ITMNT7869,272 997,1
"Монитор Игровой 27"" Asus VS278Q 1920х1080 16:9 TN 76ГЦ Black",90LMF6101Q01081C-,41 289,1
Системный блок (i9-10900 2.8ГГц / DDR4 64Гб / SSD M2 1Тб) ITWKS9054,ITWKS9054,272 992,1
Системный блок (i9-10900 2.8ГГц / DDR4 64Гб / SSD M2 1Тб) ITWKS9055,ITWKS9055,272 993,1
Системный блок (i9-10900 2.8ГГц / DDR4 64Гб / SSD M2 1Тб) ITWKS9056,ITWKS9056,272 994,1
"Системный блок Neo Game (Ci7-7700 3,6Ghz/16GB/2TB/240GB/GTX1080 8GB/DVD-RW/P7-C1)",81253LC,41 116,1
"Системный блок Neo Gme 91364LC (Ci9-10900 2,8GHz/32GB/1TB/RC-K280-KKN1) ITWKS9031",ITWKS9031,272 995,1
"Системный блок Neo Gme 91364LC (Ci9-10900 2,8GHz/32GB/1TB/RC-K280-KKN1) ITWKS9032",ITWKS9032,272 998,1
"Системный блок Neo Multimedia (Ci5-6400 2,7Ghz/4GB/1TB/GT730 2GB/DVD-RW)",81905LC,41 657,1
Системный блок Neo Office (Ci3-6100 3.7GHz/8Gb/2Tb/GT1030) ITWKS9008,ITWKS9008,272 996,1
"Шуруп для Г/К 3,5*41","Шуруп для Г/К 3,5*41",66 485,3.32
Дюбель-нагель гвоздевой 6х60 потай,Дюбель-нагель гвоздевой,68 260,6.64
"Коннектор, SHIP, S901A, RJ 45, Cat.5e, UTP, (100 штук в пакете)",S901A,20 125,17.86
Фирменный пакет INKSYSTEM,Фирменный пакет INKSYSTEM,271 284,35.36
"Комплект крепежа для телекоммуникационного оборудования, Скоба + Болт, SHIP, 700906000",700906000,24 367,55.36
Инструмент для снятия изоляции и расшивки сетевого кабеля Ship G601 Стриппер,VND G601,224 135,160.71
Диск из ПВХ Д20 110 мм,Диск из ПВХ Д20 110 мм,130 192,165.18
"Специализированный ключ, SHIP, 701901001, Для крепёжных элементов",701901001,24 304,172.32
Лента ПВХ,Лента ПВХ,32 713,174.37
"Труба гофра 25мм с протяжкой, черная",Труба гофра 25мм,268 083,240.8
"Термопаста в шприце ID-COOLING ID-TG05, 1 грамм, серый",ID-TG05,217 586,275.89
Розетка Настенная телекоммуникационная Под 2 Модуля SHIP A166-2B Белая,VND A166-2Bб,224 071,294.64
"Батарейка, Camelion, 6F22-SP1G",6F22-SP1G,269 665,357.14
"Патч Корд, SHIP, S3025BL0100-P, Cat.5e, UTP, RJ-45, 1 м, Синий, Пол. Пакет",S3025BL0100-P,58 702,380.36
"Телефонный шнур, витой трубочный RJ-10 (4P-4C), длина 4 метра, черный REXANT",RJ-10,271 718,417.86
"Кабель Patch-Cord, Ship, RJ-45 Cat.5e, 1м (S3025RD0100-P) Красный",S3025RD0100,2 740,451.79
Биты,Биты,27 702,473.3
Батарейка Alkaline (LR8D425),LR8D425,272 902,498.22
Набор свёрл по металлу AVA H05v01 из 5 предметов (AVA/H05),DS/AVA/H05,245 306,521.73
Батарейка CR2032 1шт Varta Electronics 3V-230mAh (0014-6032-101-401),0014-6032-101-401,20 775,573.06
Кабельный канал 40*40,Кабельный канал 40*40,32 159,606.16
Патч Корд SHIP Cat.5e UTP LSZH RJ-45 2 м S3025YL0200-P,VND S3025YL0200-P,224 013,607.32
"Кабель Type-C - Type-C, Neo, 1м, 60W, White (NEO-TYPEC60W)",NEO-TYPEC60W,265 624,674.04
Коробка Т40 2007045 о/у 90*90*25,2007045,235 639,680.89
Кабель питания USB на 5V/2A (DZ017) UGREEN,DZ017,268 584,714.29
Интерфейсный кабель iPower iPiVGAMM18 VGA 15M/15M 1.8м Черный,iPiVGAMM18,256 729,717.86
